Distance,Similarity,Vote
1.52966081,0.076397536,3
1.638796293,0.209061982,3
1.578082212,0.048563381,3
2.242548971,0.004203296,3
2.030435248,0.01671309,3
2.183071356,0,3
1.459569215,0.399792116,3
0.93514302,0.163140406,3
0.547506399,0.536263407,3
1.647882199,0.017817129,3
1.167316569,0.003396866,3
1.863037544,0,3
2.250422077,0.166529306,3
1.765587093,0.25342966,3
1.06414669,0.104416109,3
1.65145426,0.337136551,3
1.519992618,0.036939107,3
1.51087716,0.018628315,3
1.886477181,0.231682212,3
1.961163829,0.109251665,3
2.168507153,0,3
2.153314447,0.116266707,3
1.678285554,0.196206229,3
2.022873128,0.202519211,3
1.526999049,0.015528969,3
1.941264732,0.132985993,3
1.712556867,0.091985581,3
1.436780289,0.018101562,3
1.793565493,0.019799149,3
1.821994537,0.152275116,3
1.648471906,0.023730405,3
2.172280231,0,3
1.178084516,0.378911172,3
1.696903894,0,3
2.036764094,0.09676242,3
1.36923373,0.282455046,3
1.873632107,0.049811848,3
1.035525828,0.268751222,3
2.085219963,0.07197371,3
2.434270316,0.094351574,3
2.184226983,0,3
1.097673529,0.309329297,3
1.117776241,0.072565251,3
2.066775095,0.038680406,3
1.505412991,0.378873792,3
1.583447647,0.24572615,3
2.121084731,0.191889752,3
1.509184427,0.021229734,3
1.22441733,0.287290061,3
2.808720536,0,3
2.10747561,0.060205111,3
1.479780013,0.624331519,3
1.826723579,0.090281293,3
1.862126385,0.00527192,3
1.154630328,0.273509872,3
1.248721823,0.037961034,3
1.459021009,0.011255199,3
2.11810285,0.132102104,3
1.382614862,0.146710438,3
2.404772965,0.236916023,3
0.971956478,0.32580921,3
2.707079218,0,3
1.430146039,0.319800072,3
2.036889107,0.186198187,3
1.269119761,0.050995109,3
1.574267657,0.210880886,3
2.446333883,0.005535691,3
1.306455711,0.601134417,3
1.502978535,0.353669356,3
0.919758376,0.51401637,3
2.206280587,0.241358098,3
1.833459924,0.20289781,3
2.005437124,0,3
1.228957265,0.046213838,3
1.464239432,0.203600636,3
1.174910702,0.317079339,3
1.350673204,0.025153033,3
2.026197902,0.152803221,3
1.158709648,0.041279993,3
2.711460292,0,3
1.236796247,0.132292793,3
2.11087771,0,3
1.727039615,0.127901052,3
1.897383618,0.189306329,3
1.222475342,0.24271991,3
2.245146383,0.017847245,3
1.369503394,0.019810645,3
1.516401887,0.066188358,3
1.379502515,0.304970655,3
2.008607791,0.203091664,3
1.492800494,0.047154046,3
2.057078514,0,3
1.851102768,0.121121042,3
3.077128784,0.225120161,3
1.143755163,0.182178187,3
2.097031573,0.080901713,3
2.086123333,0,3
1.585551429,0.358177684,3
1.799963778,0.210300583,3

